seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
12,1,1,2500,2268,0.9072,0.4348,548.605,58137.277,154.552,2321.021,0.2858,0.02950,53.1841,1053.1185,0.84852,0.021087,10.7291,31.0516
13,1,1,2500,2061,0.8244,0.7631,175.179,11746.879,101.836,2212.466,0.3290,0.02096,65.3797,1111.7478,0.78052,0.023638,6.5187,20.2579
14,1,1,2500,2112,0.8448,0.6552,201.545,9067.975,91.649,1206.504,0.2350,0.02627,51.9628,1440.1948,0.85783,0.017082,6.6203,13.8791
15,1,1,2500,2066,0.8264,0.6106,189.967,11748.382,114.524,3395.334,0.3691,0.03274,74.2376,1889.2888,0.74142,0.027623,5.9321,12.1764
16,1,1,2500,2086,0.8344,0.4557,253.136,18963.535,129.489,2557.954,0.3826,0.02614,73.0767,1049.7493,0.74494,0.019608,7.3883,15.2959
17,1,1,2500,1887,0.7548,0.4925,224.444,8328.854,118.843,1315.455,0.3804,0.01619,70.0069,1005.9733,0.74593,0.018611,6.6929,12.6237
18,1,1,2500,1685,0.6740,0.4098,271.884,38586.891,134.777,4054.225,0.3656,0.02580,77.4364,1350.0797,0.77957,0.020620,8.0021,22.6115
19,1,1,2500,2093,0.8372,0.6173,395.921,57697.184,147.238,3733.278,0.3800,0.01836,63.5587,974.0090,0.76891,0.018049,8.5746,20.0286
20,1,1,2500,2245,0.8980,0.5864,533.175,97992.570,181.401,4585.204,0.4103,0.01651,71.7338,866.9497,0.74028,0.017633,10.1474,27.6651
21,1,1,2500,2155,0.8620,0.7130,295.553,29857.527,142.531,2859.709,0.4172,0.01177,76.1472,918.2101,0.72353,0.016436,7.3866,16.1019
22,1,1,2500,2051,0.8204,0.6331,264.397,10257.856,135.956,2413.895,0.4026,0.01686,73.6598,1088.8071,0.72460,0.021831,7.1785,15.2690
23,1,1,2500,1968,0.7872,0.7546,285.226,30770.721,108.482,1868.865,0.2922,0.02182,49.1591,745.5565,0.83030,0.014483,7.7609,18.9569
24,1,1,2500,2496,0.9984,0.0048,2354.625,11016.837,346.748,1245.608,0.4201,0.00373,51.9340,172.2495,0.94727,0.000006,18.6510,51.5973
25,1,1,2500,2058,0.8232,0.5263,365.394,40126.426,120.390,2209.155,0.2609,0.01968,45.9227,465.4266,0.86748,0.010306,8.7136,22.2548
26,1,1,2500,2046,0.8184,0.6671,274.442,31240.074,124.629,3628.185,0.3454,0.02273,66.4194,1428.7743,0.80695,0.019387,7.3822,17.1273
27,1,1,2500,2176,0.8704,0.4470,1247.910,424420.250,156.276,2479.395,0.1225,0.00661,29.6160,535.7404,0.96545,0.004400,13.3046,46.8122
28,1,1,2500,2123,0.8492,0.4218,255.058,14524.617,129.047,2274.554,0.3936,0.01387,69.3857,705.1733,0.74463,0.018475,7.2908,13.9974
29,1,1,2500,2062,0.8248,0.7339,355.277,60412.277,140.613,4540.507,0.3413,0.02984,66.4352,1058.3606,0.83464,0.016531,8.5599,20.7595
30,1,1,2500,1986,0.7944,0.7561,193.782,8175.964,113.903,2524.470,0.3847,0.02262,71.1002,1397.5891,0.72181,0.022285,5.8303,8.9397
31,1,1,2500,2173,0.8692,0.6182,281.470,24370.213,121.821,3703.027,0.3025,0.03875,60.4266,1654.2028,0.81825,0.022375,6.9106,13.4891
32,1,1,2500,1857,0.7428,0.6566,173.879,4493.458,90.768,1238.022,0.2369,0.02640,54.3158,1237.1797,0.85617,0.019109,6.7094,15.8630
33,1,1,2500,1723,0.6892,0.6676,207.650,8748.982,101.212,2078.458,0.2809,0.02770,55.1585,1145.5305,0.81693,0.025352,7.0446,17.1944
